"id","Timestamp","Judul Proyek","Kategori Proyek","link dokumentasi","Deskripsi Proyek","Link/Path Gambar","English Desc","English Title","","","","","","","","","","","","","","","","",""
"1","02/08/2026 6:56:54","fmr.blog | Platform Blog & Galeri Proyek Interaktif","Website","https://blog.fatah.web.id/projects/fmr-blogid/","fmr.blog adalah platform blog teknis dan galeri portofolio interaktif berkinerja tinggi berbasis Astro 5 Islands Architecture dan React 19. Dilengkapi pencarian live, penyaring tag, komentar Giscus, dan optimasi SEO terstruktur yang di-host pada Cloudflare Pages.","https://cdn.fatah.web.id/portfolio/assets/projects/web-blog/web-blog-01.webp","fmr.blog is a high-performance personal blog and interactive portfolio hub built with Astro 5 Islands Architecture and React 19. It features live search, category tag filtering, Giscus comments, and rich JSON-LD SEO schemas deployed on Cloudflare Pages.","fmr.blog | Interactive Blog & Project Portfolio Hub","","","","","","","","","","","","","","","","",""
"2","02/08/2026 6:59:22","Portal Respons Cepat & Integrasi Sosial Temon","Website","https://blog.fatah.web.id/projects/perisai-media-sosialid/","PERISAI adalah platform pengaduan publik Kapanewon Temon dengan triase AI Google Gemini 2.0 Flash untuk klasifikasi aduan dan draf balasan otomatis dalam 1–3 detik. Dilengkapi resi email instan via Nodemailer, peta GIS 15 Kalurahan, serta keamanan database Supabase PostgreSQL RLS berbasis Next.js 16.","https://cdn.fatah.web.id/portfolio/assets/projects/perisai-temon/perisai-temon-1.webp","PERISAI is a public complaint platform for Kapanewon Temon featuring Google Gemini 2.0 Flash AI auto-triage that generates incident classifications and response drafts in 1–3 seconds. Built with Next.js 16 and Supabase PostgreSQL RLS, it offers instant email receipts and an interactive 15-village GIS map.","PERISAI: Rapid Response & Social Portal of Temon","","","","","","","","","","","","","","","","",""
"3","02/08/2026 7:02:35","PERISAI AYOM TEMON | Platform Pengaduan Kekerasan Perempuan & Anak Kapanewon Temon","Website","https://blog.fatah.web.id/projects/perisai-ayom-temonid/","PERISAI AYOM TEMON adalah platform pengaduan kekerasan perempuan dan anak 100% anonim dengan Kode Tracking Unik untuk Kapanewon Temon. Terintegrasi dengan Google Gemini AI untuk triase otomatis, notifikasi email darurat instan, dan peta GIS 15 Kalurahan berbasis Next.js 16 dan Supabase.","https://cdn.fatah.web.id/portfolio/assets/projects/web-ayom-temon/web-ayom-temon-1.webp","PERISAI AYOM TEMON is a 100% anonymous reporting platform for violence against women and children in Kapanewon Temon using unique tracking codes. Built with Next.js 16 and Supabase, it features Google Gemini AI triage, instant email alerts, and an interactive 15-village GIS map.","PERISAI AYOM TEMON | Violence Against Women & Children Reporting Platform","","","","","","","","","","","","","","","","",""
"4","02/08/2026 7:20:30","Portofolio Interaktif & Galeri Lab IT","Website","https://blog.fatah.web.id/projects/fatahilah-portfolioid/","Portofolio pribadi dan galeri lab IT berbasis Astro 5 (Zero-JS) dan Vanilla CSS untuk menyajikan kualifikasi Juara 1 LKS IT Network Admin 2026. Menggunakan Google Sheets sebagai Headless CMS gratis, fitur dwibahasa instan, serta mengantongi skor PageSpeed 100/100 di Cloudflare Pages.","https://cdn.fatah.web.id/portfolio/assets/projects/web-portfolio-fatahilah/web-portfolio-fatahilah-01.webp","A personal portfolio and IT lab gallery showcasing 2026 LKS IT Network Admin Gold Medalist credentials. Built with Astro 5 Zero-JS and Vanilla CSS, it uses Google Sheets as a zero-cost Headless CMS, features instant bilingual switching, and achieves a 100/100 PageSpeed score.","Interactive Portfolio & IT Lab Gallery","","","","","","","","","","","","","","","","",""
"5","02/08/2026 7:21:53","FATAH | Gateway Link Hub & Personal Portal","Website","https://blog.fatah.web.id/projects/gatewayid/","FATAH Gateway adalah portal tautan pribadi ultra-cepat bernuansa glassmorphism dan animasi 3D GSAP 60 FPS. Menggunakan Sveltia CMS tanpa kode untuk pengelolaan tautan dwibahasa, autentikasi OAuth serverless, serta tema gelap/terang berbasis React 18 dan Cloudflare Pages.","https://cdn.fatah.web.id/portfolio/assets/projects/web-gateway/web-gateway-01.webp","FATAH Gateway is an ultra-fast personal link hub featuring glassmorphism design and 60 FPS GSAP 3D animations. Built with React 18 and Vite, it utilizes zero-code Sveltia CMS for bilingual link management, serverless OAuth, and dual-theme switching on Cloudflare Pages.","FATAH | Gateway Link Hub & Personal Portal","","","","","","","","","","","","","","","","",""
"6","02/08/2026 8:46:33","Website Portofolio Kuliner Premium Arifin Prasetyo","Website","https://blog.fatah.web.id/projects/arifin-prasetyo-portofolioid/","Platform portofolio kuliner digital mobile-first untuk Professional Cook Arifin Prasetyo yang menampilkan 14 hidangan unggulan dan sertifikasi resmi. Dibangun dengan React 19, TanStack Router, dan Tailwind CSS v4, platform ini dilengkapi infrastruktur SEO tingkat lanjut dan tag kanonis eksplisit untuk indeksasi Google tanpa duplikasi.","https://cdn.fatah.web.id/portfolio/assets/projects/web-portfolio-arifin-prasetyo/arifin-prasetyo-portfolio-1.webp","A mobile-first digital culinary portfolio for Professional Cook Arifin Prasetyo showcasing 14 signature dishes and official certifications. Built with React 19, TanStack Router, and Tailwind CSS v4, it features advanced SEO infrastructure and explicit canonical tags for duplicate-free Google indexing.","Premium Culinary Portfolio Website Arifin Prasetyo","","","","","","","","","","","","","","","","",""
"7","02/08/2026 8:48:47","Portofolio Setia Wati (Kwettiau)","Website","https://blog.fatah.web.id/projects/web-setia-watiid/","Website portofolio interaktif bertema pink pastel glassmorphism untuk Setia Wati (Kwettiau) yang memadukan keahlian teknis TKJ dengan karakter kreatifnya. Menggunakan React 19, Vite, dan Motion, situs ini menghadirkan efek 3D Mouse Tilt Parallax, smart header, dan modul kontak email langsung.","https://cdn.fatah.web.id/portfolio/assets/projects/web-portfolio-setia-wati/setia-wati-portfolio-1.webp","An interactive personal portfolio featuring a pink pastel glassmorphism design for Setia Wati, bridging technical IT networking skills with her creative identity. Built with React 19, Vite, and Motion, it offers 3D Mouse Tilt Parallax effects, a scroll-spy header, and a direct email contact modal.","Setia Wati Portfolio","","","","","","","","","","","","","","","","",""
"8","04/06/2026 21:52:52","Rancang Bangun Jaringan Kantor 3 Lantai","Cisco","https://blog.fatah.web.id/blog/rancang-bangun-jaringan-kantor-ciscoid/","Mendesain infrastruktur jaringan kantor 3 lantai menggunakan Cisco Packet Tracer. Proyek ini menerapkan segmentasi VLAN terpisah untuk setiap lantai, manajemen alokasi IP otomatis via DHCP Server, integrasi lokal DNS Server, serta konfigurasi satu router management khusus untuk kendali penuh administrator.","https://cdn.fatah.web.id/portfolio/assets/projects/Topologi-Cisco-PT-01.webp","Designing the network infrastructure for a three-storey office using Cisco Packet Tracer. This project implements separate VLAN segmentation for each floor, automatic IP allocation via a DHCP server, integration of a local DNS server, and the configuration of a dedicated management router to provide the administrator with full control.","Design and Construction of a Three-Storey Office Building","","","","","","","","","","","","","","","","",""
"9","04/06/2026 21:59:18","Setup Gateway & Keamanan Jaringan MikroTik","Mikrotik","https://blog.fatah.web.id/blog/setup-gateway-keamanan-mikrotikid/","Membangun jaringan gateway fungsional pada RouterBoard MikroTik lewat Winbox. Konfigurasi mencakup setup IPv4 address, aktivasi dan manajemen WLAN interface untuk akses wireless, implementasi Firewall NAT agar jaringan lokal terhubung ke internet, konfigurasi DNS dan DHCP Server, serta pengujian stabilitas koneksi via terminal.","https://cdn.fatah.web.id/portfolio/assets/projects/Mikrotik-01.webp","Setting up a functional gateway network on a MikroTik RouterBoard via Winbox. The configuration includes setting up an IPv4 address, activating and managing the WLAN interface for wireless access, implementing a NAT firewall to connect the local network to the internet, configuring the DNS and DHCP servers, and testing the stability of the connection via the terminal.","MicroTik Gateway Setup & Network Security","","","","","","","","","","","","","","","","",""
"10","04/06/2026 22:45:25","Analisis CV & Kesesuaian Pekerjaan","AI","https://docs.google.com/viewer?url=https://cdn.fatah.web.id/portfolio/assets/projects/FinalProject_Fatahilah.M.R.pdf","Aplikasi berbasis AI yang dirancang khusus untuk membantu fresh graduate, khususnya lulusan Teknik Komputer & Jaringan (TKJ), dalam menganalisis kesesuaian antara kualifikasi CV mereka dengan syarat lowongan kerja (Job Description) yang diincar.
Sistem akan mengevaluasi kecocokan data secara otomatis, menghitung skor kesesuaian, mendeteksi kesenjangan keahlian (skill gap), serta memberikan rekomendasi konkret untuk meningkatkan peluang lolos seleksi kerja di industri IT.","https://cdn.fatah.web.id/portfolio/assets/projects/CV-Job-Match-Analyzer.webp","An AI-based application specifically designed to help recent graduates, particularly those with a degree in Computer and Network Engineering (TKJ), analyse the match between their CV qualifications and the requirements of the job vacancies (job descriptions) they are targeting.
The system will automatically evaluate the match between the data, calculate a suitability score, identify any skills gaps, and provide concrete recommendations to improve the chances of passing the recruitment process in the IT industry.","CV & Job Match Analyzer","","","","","","","","","","","","","","","","",""
